"UF","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA"
"AC",1,"Minoru Kinpara","PSDB",2020-09-25,23,"RealTime","AC-03815/2020",800
"AC",1,"Roberto Duarte","MDB",2020-09-25,16,"RealTime","AC-03815/2020",800
"AC",1,"Jarbas Soster","AVANTE",2020-09-25,1,"RealTime","AC-03815/2020",800
"AC",1,"Jamyl Asfury","PSC",2020-09-25,9,"RealTime","AC-03815/2020",800
"AC",1,"Socorro Neri","PSB",2020-09-25,20,"RealTime","AC-03815/2020",800
"AC",1,"Tião Bocalom","PP",2020-09-25,2,"RealTime","AC-03815/2020",800
"AC",1,"Daniel Zen","PT",2020-09-25,3,"RealTime","AC-03815/2020",800
"AC",1,"Brancos/nulos/indecisos",NA,2020-09-25,36,"RealTime","AC-03815/2020",800
"AC",1,"Minoru Kinpara","PSDB",2020-10-08,28,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Roberto Duarte","MDB",2020-10-08,11,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Jarbas Soster","AVANTE",2020-10-08,2,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Jamyl Asfury","PSC",2020-10-08,3,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Socorro Neri","PSB",2020-10-08,20,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Tião Bocalom","PP",2020-10-08,19,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Daniel Zen","PT",2020-10-08,4,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-08,15,"Instituto Havenroth","AC-06579/2020",620
"AC",1,"Minoru Kinpara","PSDB",2020-10-16,29,"Ibope","AC-03870/2020",504
"AC",1,"Roberto Duarte","MDB",2020-10-16,11,"Ibope","AC-03870/2020",504
"AC",1,"Jarbas Soster","AVANTE",2020-10-16,2,"Ibope","AC-03870/2020",504
"AC",1,"Jamyl Asfury","PSC",2020-10-16,1,"Ibope","AC-03870/2020",504
"AC",1,"Socorro Neri","PSB",2020-10-16,26,"Ibope","AC-03870/2020",504
"AC",1,"Tião Bocalom","PP",2020-10-16,16,"Ibope","AC-03870/2020",504
"AC",1,"Daniel Zen","PT",2020-10-16,5,"Ibope","AC-03870/2020",504
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-16,10,"Ibope","AC-03870/2020",504
"AC",1,"Minoru Kinpara","PSDB",2020-10-16,21,"Delta","AC-01864/2020",600
"AC",1,"Roberto Duarte","MDB",2020-10-16,15,"Delta","AC-01864/2020",600
"AC",1,"Jarbas Soster","AVANTE",2020-10-16,1,"Delta","AC-01864/2020",600
"AC",1,"Jamyl Asfury","PSC",2020-10-16,1,"Delta","AC-01864/2020",600
"AC",1,"Socorro Neri","PSB",2020-10-16,24,"Delta","AC-01864/2020",600
"AC",1,"Tião Bocalom","PP",2020-10-16,21,"Delta","AC-01864/2020",600
"AC",1,"Daniel Zen","PT",2020-10-16,3,"Delta","AC-01864/2020",600
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-16,14,"Delta","AC-01864/2020",600
"AC",1,"Minoru Kinpara","PSDB",2020-10-16,27,"Data Control","AC-05338/2020",1004
"AC",1,"Roberto Duarte","MDB",2020-10-16,17,"Data Control","AC-05338/2020",1004
"AC",1,"Jarbas Soster","AVANTE",2020-10-16,1,"Data Control","AC-05338/2020",1004
"AC",1,"Jamyl Asfury","PSC",2020-10-16,1,"Data Control","AC-05338/2020",1004
"AC",1,"Socorro Neri","PSB",2020-10-16,27,"Data Control","AC-05338/2020",1004
"AC",1,"Tião Bocalom","PP",2020-10-16,16,"Data Control","AC-05338/2020",1004
"AC",1,"Daniel Zen","PT",2020-10-16,2,"Data Control","AC-05338/2020",1004
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-16,9,"Data Control","AC-05338/2020",1004
"AC",1,"Minoru Kinpara","PSDB",2020-10-21,27,"RealTime","AC-06308/2020",850
"AC",1,"Roberto Duarte","MDB",2020-10-21,17,"RealTime","AC-06308/2020",850
"AC",1,"Jarbas Soster","AVANTE",2020-10-21,1,"RealTime","AC-06308/2020",850
"AC",1,"Jamyl Asfury","PSC",2020-10-21,1,"RealTime","AC-06308/2020",850
"AC",1,"Socorro Neri","PSB",2020-10-21,27,"RealTime","AC-06308/2020",850
"AC",1,"Tião Bocalom","PP",2020-10-21,16,"RealTime","AC-06308/2020",850
"AC",1,"Daniel Zen","PT",2020-10-21,2,"RealTime","AC-06308/2020",850
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-21,9,"RealTime","AC-06308/2020",850
"AC",1,"Minoru Kinpara","PSDB",2020-10-29,28,"Ibope","AC-04206/2020",504
"AC",1,"Roberto Duarte","MDB",2020-10-29,11,"Ibope","AC-04206/2020",504
"AC",1,"Jarbas Soster","AVANTE",2020-10-29,1,"Ibope","AC-04206/2020",504
"AC",1,"Jamyl Asfury","PSC",2020-10-29,1,"Ibope","AC-04206/2020",504
"AC",1,"Socorro Neri","PSB",2020-10-29,23,"Ibope","AC-04206/2020",504
"AC",1,"Tião Bocalom","PP",2020-10-29,21,"Ibope","AC-04206/2020",504
"AC",1,"Daniel Zen","PT",2020-10-29,7,"Ibope","AC-04206/2020",504
"AC",1,"Brancos/nulos/indecisos",NA,2020-10-29,9,"Ibope","AC-04206/2020",504
"AC",1,"Minoru Kinpara","PSDB",2020-11-10,22,"Ibope","AC-07015/2020",504
"AC",1,"Roberto Duarte","MDB",2020-11-10,12,"Ibope","AC-07015/2020",504
"AC",1,"Jarbas Soster","AVANTE",2020-11-10,1,"Ibope","AC-07015/2020",504
"AC",1,"Jamyl Asfury","PSC",2020-11-10,1,"Ibope","AC-07015/2020",504
"AC",1,"Socorro Neri","PSB",2020-11-10,22,"Ibope","AC-07015/2020",504
"AC",1,"Tião Bocalom","PP",2020-11-10,28,"Ibope","AC-07015/2020",504
"AC",1,"Daniel Zen","PT",2020-11-10,6,"Ibope","AC-07015/2020",504
"AC",1,"Brancos/nulos/indecisos",NA,2020-11-10,9,"Ibope","AC-07015/2020",504
"AC",1,"Minoru Kinpara","PSDB",2020-11-12,20,"RealTime","AC-09243/2020",850
"AC",1,"Roberto Duarte","MDB",2020-11-12,10,"RealTime","AC-09243/2020",850
"AC",1,"Jarbas Soster","AVANTE",2020-11-12,1,"RealTime","AC-09243/2020",850
"AC",1,"Jamyl Asfury","PSC",2020-11-12,1,"RealTime","AC-09243/2020",850
"AC",1,"Socorro Neri","PSB",2020-11-12,23,"RealTime","AC-09243/2020",850
"AC",1,"Tião Bocalom","PP",2020-11-12,27,"RealTime","AC-09243/2020",850
"AC",1,"Daniel Zen","PT",2020-11-12,4,"RealTime","AC-09243/2020",850
"AC",1,"Brancos/nulos/indecisos",NA,2020-11-12,14,"RealTime","AC-09243/2020",850
"AL",1,"Alfredo Gaspar","MDB",2020-09-12,20,"Data Sensus","AL-00093/2020",1205
"AL",1,"Cícero Almeida","DC",2020-09-12,15,"Data Sensus","AL-00093/2020",1205
"AL",1,"Cicero Filho","PCdoB",2020-09-12,0,"Data Sensus","AL-00093/2020",1205
"AL",1,"Corintho Campelo","PMN",2020-09-12,0,"Data Sensus","AL-00093/2020",1205
"AL",1,"Davi Filho","PP",2020-09-12,10,"Data Sensus","AL-00093/2020",1205
"AL",1,"JHC","PSB",2020-09-12,23,"Data Sensus","AL-00093/2020",1205
"AL",1,"Josan Leite","PATRI",2020-09-12,0,"Data Sensus","AL-00093/2020",1205
"AL",1,"Lenilda Luna","UP",2020-09-12,1,"Data Sensus","AL-00093/2020",1205
"AL",1,"Ricardo Barbosa","PT",2020-09-12,2,"Data Sensus","AL-00093/2020",1205
"AL",1,"Valeria Correia","PSOL",2020-09-12,0,"Data Sensus","AL-00093/2020",1205
"AL",1,"Brancos/nulos/indecisos",NA,2020-09-12,28,"Data Sensus","AL-00093/2020",1205
"AL",1,"Alfredo Gaspar","MDB",2020-10-09,26,"Ibope","AL-09340/2020",504
"AL",1,"JHC","PSB",2020-10-09,25,"Ibope","AL-09340/2020",504
"AL",1,"Cícero Almeida","DC",2020-10-09,10,"Ibope","AL-09340/2020",504
"AL",1,"Davi Filho","PP",2020-10-09,5,"Ibope","AL-09340/2020",504
"AL",1,"Lenilda Luna","UP",2020-10-09,3,"Ibope","AL-09340/2020",504
"AL",1,"Josan Leite","PATRI",2020-10-09,2,"Ibope","AL-09340/2020",504
"AL",1,"Ricardo Barbosa","PT",2020-10-09,2,"Ibope","AL-09340/2020",504
"AL",1,"Valeria Correia","PSOL",2020-10-09,2,"Ibope","AL-09340/2020",504
"AL",1,"Cicero Filho","PCdoB",2020-10-09,1,"Ibope","AL-09340/2020",504
"AL",1,"Corintho Campelo","PMN",2020-10-09,1,"Ibope","AL-09340/2020",504
"AL",1,"Brancos/nulos/indecisos",NA,2020-10-09,22,"Ibope","AL-09340/2020",504
"AL",1,"Alfredo Gaspar","MDB",2020-10-12,26,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Cícero Almeida","DC",2020-10-12,9,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Cicero Filho","PCdoB",2020-10-12,0,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Corintho Campelo","PMN",2020-10-12,1,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Davi Filho","PP",2020-10-12,4,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"JHC","PSB",2020-10-12,27,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Josan Leite","PATRI",2020-10-12,2,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Lenilda Luna","UP",2020-10-12,2,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Ricardo Barbosa","PT",2020-10-12,2,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Valeria Correia","PSOL",2020-10-12,2,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Brancos/nulos/indecisos",NA,2020-10-12,36,"Paraná Pesquisas","AL-02982/2020",680
"AL",1,"Alfredo Gaspar","MDB",2020-10-16,27,"Ibope","AL-07716/2020",2000
"AL",1,"JHC","PSB",2020-10-16,25,"Ibope","AL-07716/2020",2000
"AL",1,"Cícero Almeida","DC",2020-10-16,6,"Ibope","AL-07716/2020",2000
"AL",1,"Davi Filho","PP",2020-10-16,15,"Ibope","AL-07716/2020",2000
"AL",1,"Lenilda Luna","UP",2020-10-16,1,"Ibope","AL-07716/2020",2000
"AL",1,"Josan Leite","PATRI",2020-10-16,1,"Ibope","AL-07716/2020",2000
"AL",1,"Ricardo Barbosa","PT",2020-10-16,1,"Ibope","AL-07716/2020",2000
"AL",1,"Valeria Correia","PSOL",2020-10-16,1,"Ibope","AL-07716/2020",2000
"AL",1,"Cicero Filho","PCdoB",2020-10-16,0,"Ibope","AL-07716/2020",2000
"AL",1,"Corintho Campelo","PMN",2020-10-16,0,"Ibope","AL-07716/2020",2000
"AL",1,"Brancos/nulos/indecisos",NA,2020-10-16,23,"Ibope","AL-07716/2020",2000
"AL",1,"Alfredo Gaspar","MDB",2020-10-22,24,"Ibope","AL-00075/2020",504
"AL",1,"JHC","PSB",2020-10-22,24,"Ibope","AL-00075/2020",504
"AL",1,"Cícero Almeida","DC",2020-10-22,6,"Ibope","AL-00075/2020",504
"AL",1,"Davi Filho","PP",2020-10-22,15,"Ibope","AL-00075/2020",504
"AL",1,"Lenilda Luna","UP",2020-10-22,1,"Ibope","AL-00075/2020",504
"AL",1,"Josan Leite","PATRI",2020-10-22,2,"Ibope","AL-00075/2020",504
"AL",1,"Ricardo Barbosa","PT",2020-10-22,2,"Ibope","AL-00075/2020",504
"AL",1,"Valeria Correia","PSOL",2020-10-22,3,"Ibope","AL-00075/2020",504
"AL",1,"Cicero Filho","PCdoB",2020-10-22,1,"Ibope","AL-00075/2020",504
"AL",1,"Corintho Campelo","PMN",2020-10-22,1,"Ibope","AL-00075/2020",504
"AL",1,"Brancos/nulos/indecisos",NA,2020-10-22,21,"Ibope","AL-00075/2020",504
"AL",1,"Alfredo Gaspar","MDB",2020-11-03,26,"Ibrape","AL-08550/2020",2000
"AL",1,"JHC","PSB",2020-11-03,23,"Ibrape","AL-08550/2020",2000
