"UF","CIDADE","COD_IBGE","TURNO","CANDIDATURA","PARTIDO","DATA","PERCENTUAL","INSTITUTO","REGISTRO_TSE","AMOSTRA","MARGEM"
"AC","Rio Branco",1200401,2,"Socorro Neri","PSB",2020-11-20,30,"Ibope","AC-06347/2020",602,3.66072810142438
"AC","Rio Branco",1200401,2,"Tião Bocalom","PP",2020-11-20,70,"Ibope","AC-06347/2020",602,3.66072810142438
"AC","Rio Branco",1200401,2,"Socorro Neri","PSB",2020-11-26,35,"Ibope","AC-07824/2020",602,3.81020661101267
"AC","Rio Branco",1200401,2,"Tião Bocalom","PP",2020-11-26,65,"Ibope","AC-07824/2020",602,3.81020661101267
"AL","Maceió",2704302,2,"Alfredo Gaspar","MDB",2020-11-23,47,"Ibope","AL-08875/2020",504,4.35740238623375
"AL","Maceió",2704302,2,"JHC","PSB",2020-11-23,53,"Ibope","AL-08875/2020",504,4.35740238623375
"AL","Maceió",2704302,2,"Alfredo Gaspar","MDB",2020-11-25,47,"Paraná Pesquisas","AL-04951/2020",800,3.45858092286417
"AL","Maceió",2704302,2,"JHC","PSB",2020-11-25,53,"Paraná Pesquisas","AL-04951/2020",800,3.45858092286417
"AL","Maceió",2704302,2,"Alfredo Gaspar","MDB",2020-11-27,43,"Ibope","AL-01363/2020",504,4.32227563520267
"AL","Maceió",2704302,2,"JHC","PSB",2020-11-27,57,"Ibope","AL-01363/2020",504,4.32227563520267
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-15,47,"Perspectiva","AM-04678/2020",1100,2.94948772131396
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-15,53,"Perspectiva","AM-04678/2020",1100,2.94948772131396
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-18,43,"Perspectiva","AM-02801/2020",1000,3.06851130028879
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-18,57,"Perspectiva","AM-02801/2020",1000,3.06851130028879
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-19,49,"DMP","AM-01331/2020",1001,3.09686419336848
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-19,51,"DMP","AM-01331/2020",1001,3.09686419336848
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-19,45,"Eficaz","AM-07905/2020",1000,3.08349801362025
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-19,55,"Eficaz","AM-07905/2020",1000,3.08349801362025
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-25,40,"RealTime","AM-09625/2020",850,3.29345875763388
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-25,60,"RealTime","AM-09625/2020",850,3.29345875763388
"AM","Manaus",1302603,2,"Amazonino Mendes","PODE",2020-11-27,48,"Ibope","AM-01680/2020",602,3.99098519048839
"AM","Manaus",1302603,2,"David Almeida","AVANTE",2020-11-27,52,"Ibope","AM-01680/2020",602,3.99098519048839
"CE","Fortaleza",2304400,2,"Capitão Wagner","PROS",2020-11-19,41,"Datafolha","CE-05483/2020",868,3.27200638851021
"CE","Fortaleza",2304400,2,"Sarto","PDT",2020-11-19,59,"Datafolha","CE-05483/2020",868,3.27200638851021
"CE","Fortaleza",2304400,2,"Capitão Wagner","PROS",2020-11-22,40,"Ibope","CE-07611/2020",805,3.38426024284545
"CE","Fortaleza",2304400,2,"Sarto","PDT",2020-11-22,60,"Ibope","CE-07611/2020",805,3.38426024284545
"CE","Fortaleza",2304400,2,"Capitão Wagner","PROS",2020-11-25,38,"RealTime","CE-03876/2020",850,3.26312906488812
"CE","Fortaleza",2304400,2,"Sarto","PDT",2020-11-25,62,"RealTime","CE-03876/2020",850,3.26312906488812
"CE","Fortaleza",2304400,2,"Capitão Wagner","PROS",2020-11-27,39,"Ibope","CE-06026/2020",805,3.36942157337583
"CE","Fortaleza",2304400,2,"Sarto","PDT",2020-11-27,61,"Ibope","CE-06026/2020",805,3.36942157337583
"ES","Vitória",3205309,2,"João Coser","PT",2020-11-23,47,"Ibope","ES-05907/2020",602,3.98698580558716
"ES","Vitória",3205309,2,"Del. Pazolini","REP",2020-11-23,53,"Ibope","ES-05907/2020",602,3.98698580558716
"ES","Vitória",3205309,2,"João Coser","PT",2020-11-25,46,"Futura","ES-05407/2020",600,3.98801003007766
"ES","Vitória",3205309,2,"Del. Pazolini","REP",2020-11-25,54,"Futura","ES-05407/2020",600,3.98801003007766
"ES","Vitória",3205309,2,"João Coser","PT",2020-11-25,47,"RealTime","ES-04759/2020",850,3.3553163434624
"ES","Vitória",3205309,2,"Del. Pazolini","REP",2020-11-25,53,"RealTime","ES-04759/2020",850,3.3553163434624
"ES","Vitória",3205309,2,"João Coser","PT",2020-11-28,50,"Ibope","ES-00047/2020",602,3.99418181510219
"ES","Vitória",3205309,2,"Del. Pazolini","REP",2020-11-28,50,"Ibope","ES-00047/2020",602,3.99418181510219
